displayValue,id,headline,headlineV2/text
Geothermal Electric Power Generation,389,Geothermal Electric Power Generation,Geothermal Electric Power Generation
Biomass Electric Power Generation,390,Biomass Electric Power Generation,Biomass Electric Power Generation
Natural Gas Distribution,397,Natural Gas Distribution,Natural Gas Distribution
"Water, Waste, Steam, and Air Conditioning Services",398,"Water, Waste, Steam, and Air Conditioning Services","Water, Waste, Steam, and Air Conditioning Services"
Retail Florists,1423,Retail Florists,Retail Florists
Retail Office Supplies and Gifts,1424,Retail Office Supplies and Gifts,Retail Office Supplies and Gifts
Water Supply and Irrigation Systems,400,Water Supply and Irrigation Systems,Water Supply and Irrigation Systems
Steam and Air-Conditioning Supply,404,Steam and Air-Conditioning Supply,Steam and Air-Conditioning Supply
Building Construction,406,Building Construction,Building Construction
Retail Recyclable Materials & Used Merchandise,1431,Retail Recyclable Materials & Used Merchandise,Retail Recyclable Materials & Used Merchandise
Residential Building Construction,408,Residential Building Construction,Residential Building Construction
Data Infrastructure and Analytics,2458,Data Infrastructure and Analytics,Data Infrastructure and Analytics
Nonresidential Building Construction,413,Nonresidential Building Construction,Nonresidential Building Construction
Utility System Construction,419,Utility System Construction,Utility System Construction
Electrical Equipment Manufacturing,2468,Electrical Equipment Manufacturing,Electrical Equipment Manufacturing
Online and Mail Order Retail,1445,Online and Mail Order Retail,Online and Mail Order Retail
Subdivision of Land,428,Subdivision of Land,Subdivision of Land
"Highway, Street, and Bridge Construction",431,"Highway, Street, and Bridge Construction","Highway, Street, and Bridge Construction"
Specialty Trade Contractors,435,Specialty Trade Contractors,Specialty Trade Contractors
Building Structure and Exterior Contractors,436,Building Structure and Exterior Contractors,Building Structure and Exterior Contractors
Wind Electric Power Generation,2489,Wind Electric Power Generation,Wind Electric Power Generation
Wineries,2500,Wineries,Wineries
Building Equipment Contractors,453,Building Equipment Contractors,Building Equipment Contractors
Rail Transportation,1481,Rail Transportation,Rail Transportation
Building Finishing Contractors,460,Building Finishing Contractors,Building Finishing Contractors
Ground Passenger Transportation,1495,Ground Passenger Transportation,Ground Passenger Transportation
Urban Transit Services,1497,Urban Transit Services,Urban Transit Services
Interurban and Rural Bus Services,1504,Interurban and Rural Bus Services,Interurban and Rural Bus Services
Taxi and Limousine Services,1505,Taxi and Limousine Services,Taxi and Limousine Services
Animal Feed Manufacturing,481,Animal Feed Manufacturing,Animal Feed Manufacturing
School and Employee Bus Services,1512,School and Employee Bus Services,School and Employee Bus Services
Shuttles and Special Needs Transportation Services,1517,Shuttles and Special Needs Transportation Services,Shuttles and Special Needs Transportation Services
